file,valid_spans,skipped_spans,total_words,regex_spans,regex_words,nlp_spans,nlp_words,context_spans,context_words,unknown_spans,unknown_words,avg_context_chain,max_context_chain,candidate_disagreements
CaterinaSapiente-Calvino.txt,51,0,606,14,235,4,26,32,342,1,3,4.22,12,4
CaterinaSapiente-Pitre.txt,50,24,2024,2,455,0,0,47,1535,1,34,13.15,33,0
Cenerentola-Bernoni.txt,54,26,1100,5,151,0,0,48,917,1,32,10.65,29,0
Cenerentola-Calvino.txt,51,0,672,20,379,3,37,28,256,0,0,4.93,11,0
Cenerentola-Comparetti.txt,39,0,592,13,197,3,37,22,337,1,21,4.27,11,0
